ds,district,y,price_ghs_per_sqm,price_usd_per_sqm
2013-01-01,Tema,55.86,1862,978
2013-02-01,Tema,55.59,1853,967
2013-03-01,Tema,58.43,1948,1010
2013-04-01,Tema,60.01,2001,1030
2013-05-01,Tema,61.4,2047,1047
2013-06-01,Tema,64.44,2148,1091
2013-07-01,Tema,64.68,2156,1088
2013-08-01,Tema,68.77,2293,1113
2013-09-01,Tema,68.41,2281,1067
2013-10-01,Tema,69.66,2322,1050
2013-11-01,Tema,70.63,2355,1028
2013-12-01,Tema,72.57,2419,1023
2014-01-01,Tema,73.73,2458,1006
2014-02-01,Tema,73.96,2466,978
2014-03-01,Tema,76.57,2553,985
2014-04-01,Tema,79.7,2657,996
2014-05-01,Tema,82.21,2741,999
2014-06-01,Tema,84.0,2800,993
2014-07-01,Tema,85.93,2865,989
2014-08-01,Tema,89.93,2998,1011
2014-09-01,Tema,89.23,2975,980
2014-10-01,Tema,90.02,3001,967
2014-11-01,Tema,90.34,3012,949
2014-12-01,Tema,91.04,3035,937
2015-01-01,Tema,91.52,3051,922
2015-02-01,Tema,93.73,3125,925
2015-03-01,Tema,94.45,3149,915
2015-04-01,Tema,97.99,3267,931
2015-05-01,Tema,99.51,3317,927
2015-06-01,Tema,102.15,3406,934
2015-07-01,Tema,104.73,3492,940
2015-08-01,Tema,105.17,3506,940
2015-09-01,Tema,105.33,3511,937
2015-10-01,Tema,103.45,3449,916
2015-11-01,Tema,101.08,3370,891
2015-12-01,Tema,100.89,3364,886
2016-01-01,Tema,98.1,3270,858
2016-02-01,Tema,99.39,3313,865
2016-03-01,Tema,102.1,3404,885
2016-04-01,Tema,102.06,3402,881
2016-05-01,Tema,104.01,3467,894
2016-06-01,Tema,103.2,3441,884
2016-07-01,Tema,102.18,3407,871
2016-08-01,Tema,106.31,3544,898
2016-09-01,Tema,106.28,3543,889
2016-10-01,Tema,103.26,3443,856
2016-11-01,Tema,105.46,3516,866
2016-12-01,Tema,104.9,3497,854
2017-01-01,Tema,106.0,3534,855
2017-02-01,Tema,106.95,3566,855
2017-03-01,Tema,109.9,3664,872
2017-04-01,Tema,111.65,3722,878
2017-05-01,Tema,111.49,3717,869
2017-06-01,Tema,113.97,3799,881
2017-07-01,Tema,115.9,3864,888
2017-08-01,Tema,115.91,3864,884
2017-09-01,Tema,115.9,3864,880
2017-10-01,Tema,114.65,3822,867
2017-11-01,Tema,113.64,3789,855
2017-12-01,Tema,111.42,3715,835
2018-01-01,Tema,110.26,3676,823
2018-02-01,Tema,111.42,3714,827
2018-03-01,Tema,110.39,3680,817
2018-04-01,Tema,112.76,3759,830
2018-05-01,Tema,111.39,3714,817
2018-06-01,Tema,113.68,3790,830
2018-07-01,Tema,113.45,3782,825
2018-08-01,Tema,117.95,3932,848
2018-09-01,Tema,118.71,3958,843
2018-10-01,Tema,116.81,3894,821
2018-11-01,Tema,116.82,3895,812
2018-12-01,Tema,116.74,3892,802
2019-01-01,Tema,118.81,3961,808
2019-02-01,Tema,119.92,3998,806
2019-03-01,Tema,119.91,3998,799
2019-04-01,Tema,124.5,4151,820
2019-05-01,Tema,127.61,4254,832
2019-06-01,Tema,130.36,4346,841
2019-07-01,Tema,130.62,4355,835
2019-08-01,Tema,130.36,4346,828
2019-09-01,Tema,131.39,4380,829
2019-10-01,Tema,129.07,4303,810
2019-11-01,Tema,127.23,4242,794
2019-12-01,Tema,126.7,4224,786
2020-01-01,Tema,122.71,4091,757
2020-02-01,Tema,122.91,4098,753
2020-03-01,Tema,129.64,4322,790
2020-04-01,Tema,127.82,4261,775
2020-05-01,Tema,131.66,4389,793
2020-06-01,Tema,128.55,4286,770
2020-07-01,Tema,131.62,4388,784
2020-08-01,Tema,131.7,4391,782
2020-09-01,Tema,130.42,4348,772
2020-10-01,Tema,131.57,4386,777
2020-11-01,Tema,129.63,4321,763
2020-12-01,Tema,131.43,4382,771
2021-01-01,Tema,131.75,4392,770
2021-02-01,Tema,132.55,4419,773
2021-03-01,Tema,137.6,4587,800
2021-04-01,Tema,136.8,4561,793
2021-05-01,Tema,138.15,4606,798
2021-06-01,Tema,143.04,4769,824
2021-07-01,Tema,144.07,4803,827
2021-08-01,Tema,149.91,4998,831
2021-09-01,Tema,155.58,5187,833
2021-10-01,Tema,152.63,5088,792
2021-11-01,Tema,156.32,5211,785
2021-12-01,Tema,158.07,5270,770
2022-01-01,Tema,163.94,5466,775
2022-02-01,Tema,169.71,5658,779
2022-03-01,Tema,169.62,5655,759
2022-04-01,Tema,174.25,5809,759
2022-05-01,Tema,183.09,6104,777
2022-06-01,Tema,190.66,6356,788
2022-07-01,Tema,191.13,6372,770
2022-08-01,Tema,200.52,6685,786
2022-09-01,Tema,211.6,7054,807
2022-10-01,Tema,214.97,7167,799
2022-11-01,Tema,222.79,7427,807
2022-12-01,Tema,220.33,7345,779
2023-01-01,Tema,231.4,7714,799
2023-02-01,Tema,235.67,7857,794
2023-03-01,Tema,246.36,8213,813
2023-04-01,Tema,259.86,8663,838
2023-05-01,Tema,265.71,8858,839
2023-06-01,Tema,280.54,9353,866
2023-07-01,Tema,291.96,9733,883
2023-08-01,Tema,303.29,10111,896
2023-09-01,Tema,307.79,10261,888
2023-10-01,Tema,316.71,10559,894
2023-11-01,Tema,324.0,10801,894
2023-12-01,Tema,323.35,10780,873
2024-01-01,Tema,338.37,11281,895
2024-02-01,Tema,342.2,11408,886
2024-03-01,Tema,358.98,11968,912
2024-04-01,Tema,371.15,12373,924
2024-05-01,Tema,391.39,13048,956
2024-06-01,Tema,404.2,13475,968
2024-07-01,Tema,420.53,14020,989
2024-08-01,Tema,412.26,13744,969
2024-09-01,Tema,412.01,13736,969
2024-10-01,Tema,407.79,13595,959
2024-11-01,Tema,397.93,13266,935
2024-12-01,Tema,392.63,13090,923
2010-01-01,Dome,31.29,901,630
2010-02-01,Dome,31.17,897,627
2010-03-01,Dome,31.68,912,638
2010-04-01,Dome,31.75,914,639
2010-05-01,Dome,32.63,939,657
2010-06-01,Dome,32.8,944,660
2010-07-01,Dome,32.73,942,659
2010-08-01,Dome,33.37,960,668
2010-09-01,Dome,33.92,976,675
2010-10-01,Dome,33.6,967,665
2010-11-01,Dome,33.74,971,665
2010-12-01,Dome,33.34,959,653
2011-01-01,Dome,33.96,977,662
2011-02-01,Dome,35.26,1015,684
2011-03-01,Dome,35.41,1019,684
2011-04-01,Dome,36.76,1058,706
2011-05-01,Dome,38.02,1094,727
2011-06-01,Dome,38.08,1096,724
2011-07-01,Dome,38.81,1117,735
2011-08-01,Dome,40.87,1176,761
2011-09-01,Dome,41.8,1203,765
2011-10-01,Dome,41.16,1184,742
2011-11-01,Dome,42.36,1219,751
2011-12-01,Dome,42.77,1231,747
2012-01-01,Dome,44.02,1267,757
2012-02-01,Dome,44.88,1291,760
2012-03-01,Dome,45.82,1319,765
2012-04-01,Dome,47.39,1364,780
2012-05-01,Dome,49.43,1422,802
2012-06-01,Dome,51.18,1473,818
2012-07-01,Dome,52.46,1510,827
2012-08-01,Dome,53.39,1536,836
2012-09-01,Dome,54.72,1575,851
2012-10-01,Dome,54.22,1560,837
2012-11-01,Dome,55.2,1588,846
2012-12-01,Dome,54.1,1557,824
2013-01-01,Dome,56.09,1614,848
2013-02-01,Dome,58.04,1670,871
2013-03-01,Dome,58.57,1686,874
2013-04-01,Dome,59.52,1713,882
2013-05-01,Dome,62.65,1803,922
2013-06-01,Dome,63.79,1836,933
2013-07-01,Dome,64.86,1866,942
2013-08-01,Dome,67.08,1930,938
2013-09-01,Dome,67.89,1954,914
2013-10-01,Dome,70.64,2033,919
2013-11-01,Dome,70.27,2022,883
2013-12-01,Dome,71.78,2066,873
2014-01-01,Dome,72.58,2089,855
2014-02-01,Dome,76.2,2193,870
2014-03-01,Dome,76.65,2206,851
2014-04-01,Dome,80.01,2302,863
2014-05-01,Dome,83.07,2391,871
2014-06-01,Dome,83.92,2415,856
2014-07-01,Dome,85.93,2473,854
2014-08-01,Dome,90.27,2598,876
2014-09-01,Dome,90.8,2613,861
2014-10-01,Dome,88.81,2556,824
2014-11-01,Dome,90.56,2606,822
2014-12-01,Dome,91.79,2641,815
2015-01-01,Dome,90.57,2606,788
2015-02-01,Dome,92.79,2670,790
2015-03-01,Dome,95.35,2744,797
2015-04-01,Dome,98.68,2840,809
2015-05-01,Dome,101.65,2925,818
2015-06-01,Dome,101.7,2927,802
2015-07-01,Dome,107.76,3101,835
2015-08-01,Dome,104.6,3010,807
2015-09-01,Dome,103.7,2984,796
2015-10-01,Dome,101.65,2925,777
2015-11-01,Dome,101.19,2912,770
2015-12-01,Dome,100.36,2888,761
2016-01-01,Dome,100.9,2903,762
2016-02-01,Dome,99.84,2873,750
2016-03-01,Dome,101.94,2934,763
2016-04-01,Dome,100.55,2894,749
2016-05-01,Dome,102.82,2959,763
2016-06-01,Dome,103.16,2969,762
2016-07-01,Dome,103.82,2988,764
2016-08-01,Dome,106.47,3064,776
2016-09-01,Dome,107.44,3092,776
2016-10-01,Dome,105.56,3038,755
2016-11-01,Dome,104.15,2997,739
2016-12-01,Dome,104.5,3007,734
2017-01-01,Dome,104.66,3012,729
2017-02-01,Dome,105.74,3043,730
2017-03-01,Dome,107.69,3099,737
2017-04-01,Dome,110.12,3169,747
2017-05-01,Dome,113.33,3261,763
2017-06-01,Dome,113.3,3261,756
2017-07-01,Dome,117.18,3372,775
2017-08-01,Dome,114.93,3307,757
2017-09-01,Dome,116.62,3356,764
2017-10-01,Dome,112.25,3230,732
2017-11-01,Dome,113.43,3264,737
2017-12-01,Dome,108.71,3128,703
2018-01-01,Dome,108.78,3130,700
2018-02-01,Dome,110.53,3181,709
2018-03-01,Dome,110.34,3175,705
2018-04-01,Dome,112.33,3233,714
2018-05-01,Dome,113.02,3252,715
2018-06-01,Dome,113.87,3277,718
2018-07-01,Dome,115.29,3318,724
2018-08-01,Dome,114.66,3299,711
2018-09-01,Dome,116.62,3356,715
2018-10-01,Dome,116.25,3345,705
